freq,siec,indic_nrgm,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,E7000,ECAP_CN,MW,MT	0.000 	0.000 	0.000 	0.000 	210.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_CN,MW,NL	1862.000 	2804.700 	2161.110 	1459.470 	864.060 	2031.298 	2785.000 	6134.380 	4958.000 	3891.000 	6142.000 	: 
A,E7000,ECAP_CN,MW,PL	942.000 	672.600 	1339.500 	993.000 	2173.000 	949.000 	3181.000 	4399.100 	5632.000 	5936.000 	5722.000 	: 
A,E7000,ECAP_CN,MW,PT	256.000 	376.000 	602.210 	1112.000 	357.000 	237.810 	378.220 	210.626 	324.369 	1558.773 	799.011 	: 
A,E7000,ECAP_CN,MW,RO	2263.670 	452.350 	387.130 	202.620 	13.800 	20.442 	9.060 	2.568 	40.700 	14.520 	236.910 	: 
A,E7000,ECAP_CN,MW,RS	0.000 	0.000 	1.800 	58.000 	12.000 	250.000 	186.000 	225.500 	230.000 	6.000 	103.500 	: 
A,E7000,ECAP_CN,MW,SE	1034.000 	1470.000 	992.000 	864.000 	437.000 	1676.000 	1698.000 	1751.000 	2640.000 	3024.000 	3657.000 	: 
A,E7000,ECAP_CN,MW,SI	29.000 	576.460 	26.600 	5.800 	18.000 	373.300 	29.500 	66.100 	158.130 	193.200 	523.580 	: 
A,E7000,ECAP_CN,MW,SK	115.000 	135.000 	20.140 	87.760 	4.180 	8.840 	42.810 	1.460 	78.890 	: 	0.000 	: 
A,E7000,ECAP_CN,MW,TR	6949.000 	6327.000 	6211.000 	6528.000 	3950.090 	3330.850 	4134.500 	4453.218 	4211.380 	5266.070 	4746.056 	: 
A,E7000,ECAP_CN,MW,XK	3.340 	0.000 	4.900 	24.920 	2.100 	38.400 	33.160 	11.060 	0.000 	0.000 	: 	: 
A,E7000,ECAP_DC,MW,AT	21.000 	214.000 	235.000 	482.000 	170.000 	62.000 	485.000 	383.000 	331.000 	177.000 	7.000 	: 
A,E7000,ECAP_DC,MW,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,BE	527.000 	986.000 	139.000 	635.000 	470.000 	0.000 	0.000 	0.000 	0.000 	1006.000 	1008.000 	: 
A,E7000,ECAP_DC,MW,BG	220.000 	210.000 	50.000 	60.000 	0.000 	0.000 	6.150 	0.000 	0.000 	0.328 	2.686 	: 
A,E7000,ECAP_DC,MW,CY	120.500 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,CZ	559.700 	: 	: 	: 	: 	: 	: 	643.780 	502.710 	111.800 	1.200 	: 
A,E7000,ECAP_DC,MW,DE	911.000 	2423.000 	2652.000 	1677.000 	3978.000 	1722.000 	3141.000 	732.000 	11119.000 	609.000 	4511.000 	: 
A,E7000,ECAP_DC,MW,DK	1352.000 	317.000 	54.000 	78.000 	401.000 	38.825 	112.389 	101.000 	63.000 	101.000 	69.000 	: 
A,E7000,ECAP_DC,MW,EE	26.000 	3.000 	402.000 	255.000 	66.800 	10.000 	142.000 	98.000 	383.900 	0.000 	1.000 	: 
A,E7000,ECAP_DC,MW,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1088.000 	560.000 	14.200 	: 
A,E7000,ECAP_DC,MW,ES	3.000 	169.000 	514.160 	1005.760 	638.530 	480.000 	455.960 	4053.340 	2021.580 	323.100 	56.057 	: 
A,E7000,ECAP_DC,MW,FI	0.000 	690.000 	69.200 	1026.000 	246.000 	138.900 	25.500 	574.600 	228.600 	18.000 	516.000 	: 
A,E7000,ECAP_DC,MW,FR	: 	: 	: 	: 	2857.000 	450.000 	102.600 	1760.000 	660.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,GE	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,HR	4.000 	0.000 	0.000 	0.000 	0.000 	4.200 	371.000 	228.600 	24.500 	0.000 	20.700 	: 
A,E7000,ECAP_DC,MW,HU	1209.830 	41.480 	0.000 	240.000 	0.000 	0.000 	0.000 	0.000 	10.500 	245.000 	67.000 	: 
A,E7000,ECAP_DC,MW,IE	0.000 	0.000 	240.000 	0.000 	0.000 	343.000 	0.000 	34.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,IT	2541.000 	4028.000 	5954.000 	3279.000 	1166.000 	410.000 	439.000 	1396.000 	984.000 	1528.000 	719.000 	: 
A,E7000,ECAP_DC,MW,LT	0.000 	300.000 	600.000 	0.000 	361.000 	0.000 	0.000 	0.000 	4.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,LU	0.100 	1.950 	13.440 	382.800 	5.510 	6.272 	0.250 	10.740 	20.670 	2.560 	6.340 	: 
A,E7000,ECAP_DC,MW,LV	0.000 	0.000 	0.000 	6.400 	0.000 	25.400 	0.000 	0.000 	4.100 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,MK	210.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.088 	0.030 	216.277 
A,E7000,ECAP_DC,MW,MT	0.000 	0.000 	0.000 	0.000 	120.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,NL	279.000 	223.130 	2131.830 	56.100 	1303.500 	744.031 	759.691 	848.841 	127.043 	224.000 	189.000 	: 
A,E7000,ECAP_DC,MW,PL	405.000 	445.600 	89.500 	70.000 	107.000 	673.000 	156.000 	43.000 	1720.000 	1228.800 	158.000 	: 
A,E7000,ECAP_DC,MW,PT	1094.000 	337.000 	111.660 	100.000 	51.000 	41.053 	71.890 	41.431 	1261.310 	784.163 	17.802 	: 
A,E7000,ECAP_DC,MW,RO	56.390 	89.200 	265.940 	0.780 	197.870 	705.490 	3295.000 	109.600 	2060.000 	122.520 	204.350 	: 
A,E7000,ECAP_DC,MW,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_DC,MW,SE	115.000 	194.000 	614.000 	833.000 	1564.000 	357.000 	97.000 	903.000 	1559.000 	8.000 	72.000 	: 
A,E7000,ECAP_DC,MW,SI	23.000 	26.790 	117.000 	0.000 	0.000 	250.700 	0.900 	6.500 	6.470 	63.800 	4.000 	: 
A,E7000,ECAP_DC,MW,SK	472.000 	133.000 	1.040 	335.130 	131.280 	1.320 	55.520 	1.370 	15.600 	: 	0.000 	: 
A,E7000,ECAP_DC,MW,TR	105.000 	815.000 	2584.000 	1177.000 	1848.660 	1008.800 	1376.500 	343.605 	222.400 	522.150 	28.330 	: 
A,E7000,ECAP_DC,MW,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 
A,E7000,ECAP_VAR,MW,AT	647.000 	555.000 	359.000 	423.000 	211.000 	802.000 	-58.000 	-13.000 	896.000 	1264.000 	3019.000 	: 
A,E7000,ECAP_VAR,MW,BA	1.130 	9.720 	20.560 	342.740 	32.890 	77.460 	45.480 	24.110 	77.610 	47.360 	114.620 	: 
A,E7000,ECAP_VAR,MW,BE	726.000 	-66.000 	228.000 	408.000 	707.000 	529.300 	1269.500 	1642.800 	515.700 	384.800 	660.000 	: 
A,E7000,ECAP_VAR,MW,BG	-93.000 	-159.200 	9.180 	-46.350 	7.570 	420.000 	15.380 	60.256 	183.694 	490.599 	1248.862 	: 
A,E7000,ECAP_VAR,MW,CY	-45.500 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_VAR,MW,CZ	-559.700 	769.200 	17.300 	123.300 	277.700 	10.200 	289.760 	-643.780 	-416.190 	-70.100 	933.200 	: 
A,E7000,ECAP_VAR,MW,DE	7727.000 	7597.000 	8320.000 	7120.000 	4482.000 	5724.000 	5073.000 	9911.000 	3143.000 	7544.000 	18251.000 	: 
A,E7000,ECAP_VAR,MW,DK	-463.000 	-154.000 	380.000 	242.000 	104.000 	747.514 	183.654 	354.000 	1128.000 	1405.000 	513.000 	: 
A,E7000,ECAP_VAR,MW,EE	-5.000 	61.000 	-173.000 	-249.400 	-26.800 	10.000 	-132.000 	-8.000 	-328.900 	0.000 	-1.000 	: 
A,E7000,ECAP_VAR,MW,EL	417.000 	151.000 	0.000 	0.000 	0.000 	500.000 	0.000 	0.000 	-1088.000 	862.000 	24.520 	: 
A,E7000,ECAP_VAR,MW,ES	700.000 	-141.000 	395.440 	-968.000 	-545.020 	-27.210 	6281.871 	463.070 	2316.750 	6249.160 	6214.257 	: 
A,E7000,ECAP_VAR,MW,FI	531.400 	-248.700 	63.800 	-307.000 	854.000 	-30.900 	233.560 	-250.100 	642.500 	2651.000 	2992.000 	: 
A,E7000,ECAP_VAR,MW,FR	0.000 	0.000 	0.000 	0.000 	-94.000 	2054.000 	2294.100 	652.600 	3280.000 	5600.000 	4700.000 	: 
A,E7000,ECAP_VAR,MW,GE	0.000 	0.000 	247.460 	150.600 	243.830 	18.380 	85.680 	252.730 	7.800 	26.900 	29.000 	: 
A,E7000,ECAP_VAR,MW,HR	138.000 	104.000 	371.000 	80.000 	122.600 	35.300 	-293.700 	-49.900 	211.000 	101.400 	398.800 	: 
A,E7000,ECAP_VAR,MW,HU	-1174.820 	46.570 	0.000 	-240.000 	0.000 	0.000 	465.584 	498.819 	411.131 	1149.000 	1677.000 	: 
A,E7000,ECAP_VAR,MW,IE	237.000 	330.000 	616.000 	376.000 	220.250 	-135.000 	381.000 	180.800 	478.000 	891.800 	841.100 	: 
A,E7000,ECAP_VAR,MW,IT	516.000 	-2753.000 	-4791.000 	-1903.000 	-76.000 	980.000 	1183.000 	-190.400 	777.000 	3569.000 	8792.000 	: 
A,E7000,ECAP_VAR,MW,LT	86.000 	-286.000 	-450.000 	78.000 	-339.000 	28.000 	24.000 	113.000 	218.000 	275.000 	388.000 	: 
A,E7000,ECAP_VAR,MW,LU	24.000 	213.450 	1.290 	-314.050 	11.870 	-0.221 	62.980 	33.280 	70.370 	69.380 	149.590 	: 
A,E7000,ECAP_VAR,MW,LV	248.000 	16.800 	8.800 	-6.400 	14.400 	-25.400 	22.000 	6.500 	-4.100 	72.100 	183.300 	: 
A,E7000,ECAP_VAR,MW,MD	1.500 	3.300 	0.290 	1.710 	9.900 	20.600 	0.000 	2.177 	31.300 	39.600 	75.100 	: 
A,E7000,ECAP_VAR,MW,ME	0.840 	0.000 	9.250 	6.230 	75.290 	4.392 	48.617 	16.939 	2.220 	2.220 	14.194 	: 
A,E7000,ECAP_VAR,MW,MK	-185.700 	22.200 	33.800 	4.660 	11.610 	6.200 	10.900 	14.800 	14.200 	142.752 	373.853 	339.489 
A,E7000,ECAP_VAR,MW,MT	0.000 	0.000 	0.000 	0.000 	90.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_VAR,MW,NL	1583.000 	2581.570 	29.280 	1403.370 	-439.440 	1287.267 	2025.309 	5285.539 	4830.957 	3667.000 	5953.000 	: 
A,E7000,ECAP_VAR,MW,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_VAR,MW,PL	537.000 	227.000 	1250.000 	923.000 	2066.000 	276.000 	3025.000 	4356.100 	3912.000 	4707.200 	5564.000 	: 
A,E7000,ECAP_VAR,MW,PT	-838.000 	39.000 	490.550 	1012.000 	306.000 	196.757 	306.330 	169.195 	-936.941 	774.610 	781.209 	: 
